Il faut  6h d'avion pour aller au Groenland, combien cela fait-il en minute ?;360;1200;500;600;0
Quel animal n'ai pas present en Groenland;Le loup;pingouin;Le cheval;L'ours;2
Dans quelle mer ou océan est situé le Groenland ?;L'océan Atlantique;L'océan Arctique;La mer du Nord;L'océan Antarctique;0
De quel pays dépend cette province autonome ?;Du Royaume-Uni;Du Canada;Des Etats unis;Du Danemark;3
Quelle est la monnaie du Groenland ?;L'euro;Le dollar canadien;La couronne danoise;Le dollar;2
Quelle langue parle-t-on au Groenland ?;Le groenlandais;Français;Portugais;Anglais;0
Quelle est sa capitale ?;Ottawa;New york;Nuuk;Paris;2
fin;0;0;0;0;0
De Paris, Il faut environ 8h d'avion pour aller à NewYork, combien cela fait il en minutes ?;80;800;480;1200;2
Quel pays n'ai pas en Amérique du nord ?;Cuba;Etats Unis;Mexique;Canada;0
Quel pays n'ai pas en Amérique du sud ?;Etats Unis;Mexique;Argentine;Canada;2
Quel est le plus vaste pays d'Amérique du Nord ?;Russie;Canada;Etats Unis;Mexique;1
Quelle langue est parler au Etats Unis;Espagnol;Francer;Portugais;Anglais;3
Quelle langue est parler au Mexique;Espagnol;Francer;Portugais;Anglais;0
Quel animal n'ai pas present en Amérque du Nord;Le cheval;Le loup;la girafe;L'ours;2
Quel animal n'ai pas present en Amérque du Nord;Le cheval;le lion;Le loup;L'ours;1
Ou on eu lieu les présedent jeux olympiques d'hivers de 2010 ?;Toronto;Vancouver;Québec;Montréal;1
Quel animal est le symbole des Etats unis ?;L'aigle;Le cheval;Le loup;L'ours;0
fin;0;0;0;0;0
Quel pays n'ai pas en Amérique du sud ?;Argentine;Brésil;Paraguay;Canada;3
Quel pays n'ai pas en Amérique du sud ?;Argentine;Brésil;Afrique du sud;Paraguay;2
Quel est le plus vaste pays d'Amérique du Sud ?;Argentine;Brésil;Paraguay;mexique;1
Quelle langue est parler en Argentine;Espagnol;Francer;Portugais;Anglais;0
Quelle langue est parler en Brésil;Espagnol;Francer;Portugais;Anglais;2
De Paris, Il faut environ 12h d'avion pour aller au Brésil, combien cela fait il en minutes ?;80;720;480;1200;1
Quel animal n'ai pas present en Amérque du sud;Le puma;Le lama;La mygale;l'éléphant;3
Quel animal n'ai pas present en Amérque du sud;Le puma;le lion;Le lama;La mygale;1
Où se jette L'Amazone (fleuve) ?;océan pacifique;océan indien;mer du nord;océan atlantique;3
Ou auront lieu les prochains jeux olympiques de 2016 ?;Rio de janeiro;Bresilia;Salvador;Porto seguro;0
fin;0;0;0;0;0
De quel pays sont les Hollandais?;Pays-bas;suède;macédoine;belgique;0
Quel pays ne fait pas parti de l'Union Europeenne ?;France;Russie;Italie;Irlande;1
